rank,iso6393,iso6391,languageLabel,defaultScript,defaultScriptName,orthographyId,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,verificationStatus
246,hak,,Hakka Chinese,Hans,Simplified,hak-hani,Hani,Han,secondary,wikidata-writing-system,needs-review,needs-review
247,kjh,,Khakas,Cyrl,Cyrillic,kjh-cyrl,Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,needs-review
248,ace,,Acehnese,Latn,Latin,ace-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
249,gsw,,Alemannic,Latn,Latin,gsw-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
250,war,,Waray,Latn,Latin,war-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
250,war,,Waray,Latn,Latin,war-tglg,Tglg,Tagalog,secondary,wikidata-writing-system,needs-review,needs-review
251,hit,,Hittite,Xsux,Sumero-Akkadian Cuneiform,hit-xsux,Xsux,Sumero-Akkadian Cuneiform,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
252,mns,,Mansi,Cyrl,Cyrillic,mns-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
253,pcd,,Picard,Latn,Latin,pcd-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
254,gez,,Ge'ez,Ethi,Ethiopic,gez-ethi,Ethi,Ethiopic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
255,brx,,Bodo,Deva,Devanagari,brx-deva,Deva,Devanagari,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
256,phn,,Phoenician,Phnx,Phoenician,phn-phnx,Phnx,Phoenician,primary,cldr-default+wikidata,needs-review,needs-review
257,mah,mh,Marshallese,Latn,Latin,mah-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
258,kca,,Khanty,Cyrl,Cyrillic,kca-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
259,dgo,,Dogri,Arab,Arabic,dgo-arab,Arab,Arabic,primary,omniglot-langalph+wws,needs-review,pending-manual-review
259,dgo,,Dogri,Arab,Arabic,dgo-deva,Deva,Devanagari,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
260,brh,,Brahui,Arab,Arabic,brh-arab,Arab,Arabic,primary,omniglot-langalph+wws,needs-review,needs-review
261,nog,,Nogai,Cyrl,Cyrillic,nog-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
261,nog,,Nogai,Cyrl,Cyrillic,nog-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
