rank,iso6393,iso6391,glottocode,qid,languageLabel,sitelinks,defaultScript,defaultScriptName,orthographyId,orthographyLabelEn,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,seedKind,verificationStatus,languageWikipediaUrl,scriptWikipediaUrl,evidenceSources
33,aze,az,azer1255,Q9292,Azerbaijani,196,Latn,Latin,aze-arab,Azerbaijani (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,https://en.wikipedia.org/wiki/Azerbaijani_language,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
33,aze,az,azer1255,Q9292,Azerbaijani,196,Latn,Latin,aze-cyrl,Azerbaijani (Cyrillic),Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,https://en.wikipedia.org/wiki/Azerbaijani_language,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
34,afr,af,afri1274,Q14196,Afrikaans,195,Latn,Latin,afr-latn,Afrikaans (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
34,afr,af,afri1274,Q14196,Afrikaans,195,Latn,Latin,afr-arab,Afrikaans (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
35,est,et,esto1258,Q9072,Estonian,193,Latn,Latin,est-latn,Estonian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
36,bul,bg,bulg1262,Q7918,Bulgarian,192,Cyrl,Cyrillic,bul-cyrl,Bulgarian (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
37,gle,ga,iris1253,Q9142,Irish,192,Latn,Latin,gle-latn,Irish (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
37,gle,ga,iris1253,Q9142,Irish,192,Latn,Latin,gle-latg,Irish (Gaelic Latin),Latg,Gaelic Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
37,gle,ga,iris1253,Q9142,Irish,192,Latn,Latin,gle-ogam,Irish (Ogham),Ogam,Ogham,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Ogham,omniglot-langalph|worldswritingsystems
38,bel,be,bela1254,Q9091,Belarusian,186,Cyrl,Cyrillic,bel-cyrl,Belarusian (Cyrillic),Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,script-derived,needs-review,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems
38,bel,be,bela1254,Q9091,Belarusian,186,Cyrl,Cyrillic,bel-arab,Belarusian (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
39,ind,id,stin1234,Q9240,Indonesian,184,Latn,Latin,ind-latn,Indonesian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
